test_year,n,MASE_loss_only,MASE_lagged_full,MASE_concurrent
2020,136,0.941,0.983,0.804
2021,181,0.883,0.84,0.791
2022,178,0.939,0.947,0.843
2023,176,0.902,0.932,0.902
2024,131,0.881,0.899,0.822
2025,42,0.913,0.821,1.015
